index,tier,leagueId,queue,name,entries
25,CHALLENGER,946274f2-16b6-376e-8d60-e07ef8f06a7f,RANKED_TFT,Orianna's Dragons,"{'summonerId': 'MrQkvy47Hqh3JR8RfuAADiJ0Q0u8zdyhX19iQj5HLkWr528', 'summonerName': '아갓어', 'leaguePoints': 1190, 'rank': 'I', 'wins': 324, 'losses': 266, 'veteran': True, 'inactive': False, 'freshBlood': False, 'hotStreak': True}"
26,CHALLENGER,946274f2-16b6-376e-8d60-e07ef8f06a7f,RANKED_TFT,Orianna's Dragons,"{'summonerId': 'KxrDS3-ARsGLpELhwMNgzH-q_DN2Aalrn2DAPYP0BVZgrRc', 'summonerName': 'TwTF 김준민', 'leaguePoints': 1096, 'rank': 'I', 'wins': 504, 'losses': 327, 'veteran': True, 'inactive': False, 'freshBlood': False, 'hotStreak': False}"
27,CHALLENGER,946274f2-16b6-376e-8d60-e07ef8f06a7f,RANKED_TFT,Orianna's Dragons,"{'summonerId': 'HinDMqnBa8VGwO8aonEId33ImtI0lBqUvEyRv5lR6xOefECYPBbd4e9Y9g', 'summonerName': 'Kanata Ch', 'leaguePoints': 1172, 'rank': 'I', 'wins': 192, 'losses': 104, 'veteran': True, 'inactive': False, 'freshBlood': False, 'hotStreak': False}"
28,CHALLENGER,946274f2-16b6-376e-8d60-e07ef8f06a7f,RANKED_TFT,Orianna's Dragons,"{'summonerId': 'Ow0bKom2JPIP3pQ3Zq41lSe0de8Dkt0-YTTfK6eM-fAbS1GCMIWM1EuttQ', 'summonerName': 'Trick C', 'leaguePoints': 1180, 'rank': 'I', 'wins': 283, 'losses': 230, 'veteran': True, 'inactive': False, 'freshBlood': False, 'hotStreak': False}"
29,CHALLENGER,946274f2-16b6-376e-8d60-e07ef8f06a7f,RANKED_TFT,Orianna's Dragons,"{'summonerId': '1bvplhZsZjbwQclvR3kisT1Ii6FMnVv8Jfeg__zv2sIe0v0', 'summonerName': 'TwTF 근열맨', 'leaguePoints': 1122, 'rank': 'I', 'wins': 276, 'losses': 187, 'veteran': True, 'inactive': False, 'freshBlood': False, 'hotStreak': False}"
30,CHALLENGER,946274f2-16b6-376e-8d60-e07ef8f06a7f,RANKED_TFT,Orianna's Dragons,"{'summonerId': 'O5VBP9SgfJ6IWZoccEHdn1pZykvX6hSFlb_-6EaEFN2_I-M', 'summonerName': '달            꿈', 'leaguePoints': 1060, 'rank': 'I', 'wins': 488, 'losses': 425, 'veteran': False, 'inactive': False, 'freshBlood': True, 'hotStreak': True}"
31,CHALLENGER,946274f2-16b6-376e-8d60-e07ef8f06a7f,RANKED_TFT,Orianna's Dragons,"{'summonerId': 'TYTmZ3c5mAOLmpOEbcSZOoPzE9juGie1PkuO9o0Gkd9oQmdB', 'summonerName': '송제송', 'leaguePoints': 1071, 'rank': 'I', 'wins': 249, 'losses': 196, 'veteran': False, 'inactive': False, 'freshBlood': False, 'hotStreak': False}"
32,CHALLENGER,946274f2-16b6-376e-8d60-e07ef8f06a7f,RANKED_TFT,Orianna's Dragons,"{'summonerId': 'mnSNDaMYV5_jmCm7Yu3gcTfzsVsLzf8FtffiUUd83UIj7vQ', 'summonerName': '단간론파키리기리', 'leaguePoints': 1404, 'rank': 'I', 'wins': 310, 'losses': 187, 'veteran': True, 'inactive': False, 'freshBlood': False, 'hotStreak': False}"
33,CHALLENGER,946274f2-16b6-376e-8d60-e07ef8f06a7f,RANKED_TFT,Orianna's Dragons,"{'summonerId': 'gkTWMOYf21cV6Cfzss3aWwP4-dsi74voiM82RZLQewtnfOk', 'summonerName': 'Casslgod', 'leaguePoints': 1767, 'rank': 'I', 'wins': 177, 'losses': 68, 'veteran': True, 'inactive': False, 'freshBlood': False, 'hotStreak': True}"
34,CHALLENGER,946274f2-16b6-376e-8d60-e07ef8f06a7f,RANKED_TFT,Orianna's Dragons,"{'summonerId': 'XyBQyownU9e21U00xCL_7R_MRM8FjX9nY2z8KyaSbzsbrak', 'summonerName': '이당흥', 'leaguePoints': 1113, 'rank': 'I', 'wins': 259, 'losses': 214, 'veteran': False, 'inactive': False, 'freshBlood': False, 'hotStreak': False}"
